x;292;y;-117;z;1095
x;-85;y;-222;z;1021
x;148;y;-66;z;803
x;-261;y;109;z;1092
x;144;y;-46;z;760
x;-11;y;78;z;1115
x;117;y;54;z;865
x;-78;y;-85;z;936
x;179;y;-7;z;850
x;-89;y;-183;z;854
x;0;y;-58;z;834
x;-66;y;-66;z;889
x;46;y;-89;z;936
x;-11;y;144;z;1103
x;81;y;-3;z;1002
x;-132;y;-74;z;877
x;-62;y;27;z;819
x;19;y;-23;z;1092
x;120;y;81;z;924
x;-62;y;35;z;1025
x;54;y;46;z;877
x;23;y;-54;z;1158
x;-93;y;-23;z;916
x;74;y;120;z;678
x;-187;y;113;z;877
x;-74;y;-89;z;904
x;-152;y;-58;z;783
x;-46;y;58;z;663
x;-19;y;-62;z;1326
x;117;y;128;z;1006
x;-202;y;-195;z;1283
x;78;y;-218;z;1189
x;-218;y;15;z;861
x;78;y;-85;z;908
x;3;y;-210;z;959
x;3;y;124;z;768
x;7;y;-3;z;647
x;7;y;-3;z;647
x;-171;y;105;z;647
x;-3;y;159;z;768
x;245;y;-81;z;1466
x;74;y;-74;z;1220
x;187;y;-120;z;1232
x;156;y;-3;z;1193
x;117;y;-124;z;1033
x;-163;y;50;z;694
x;124;y;-148;z;1037
x;-101;y;-175;z;1045
x;39;y;-195;z;1064
x;93;y;-296;z;1349
x;74;y;101;z;737
x;144;y;-50;z;705
x;-292;y;315;z;390
x;210;y;3;z;1017
x;62;y;-128;z;971
x;-7;y;-148;z;795
x;124;y;-128;z;694
x;-62;y;230;z;1119
x;-3;y;-70;z;1072
x;81;y;15;z;1099
x;74;y;-54;z;1099
x;-66;y;35;z;475
x;35;y;-62;z;1173
x;50;y;-7;z;807
x;117;y;-7;z;1025
x;-117;y;35;z;702
x;-7;y;74;z;475
x;140;y;-7;z;1006
x;93;y;66;z;939
x;31;y;109;z;651
x;144;y;3;z;1357
x;42;y;-39;z;971
x;97;y;-66;z;588
x;-58;y;101;z;1072
x;97;y;-81;z;932
x;109;y;89;z;978
x;159;y;-109;z;1111
x;105;y;-218;z;1185
x;234;y;-561;z;924
x;378;y;-846;z;760
x;198;y;257;z;241
x;-323;y;-269;z;1076
x;-284;y;288;z;1279
x;-471;y;-475;z;1029
x;-113;y;-105;z;791
x;-70;y;-284;z;807
x;23;y;117;z;994
x;-42;y;66;z;666
x;-198;y;-42;z;877
x;50;y;-78;z;897
x;-93;y;-136;z;982
x;15;y;-58;z;936
x;62;y;-50;z;936
x;-93;y;-81;z;990
x;31;y;-50;z;928
x;-27;y;-58;z;994
x;23;y;-66;z;932
x;11;y;-97;z;920
x;-27;y;-62;z;998
x;11;y;-58;z;982
x;-35;y;-66;z;955
x;-7;y;-35;z;971
x;11;y;-74;z;955
x;15;y;-46;z;963
x;-3;y;-74;z;959
x;35;y;-70;z;932
x;-15;y;-78;z;916
x;3;y;-58;z;932
x;19;y;-50;z;951
x;-3;y;-42;z;939
x;0;y;-81;z;908
x;3;y;-58;z;959
x;-7;y;-74;z;924
x;-15;y;-66;z;947
x;-11;y;-54;z;939
x;0;y;-74;z;951
x;-7;y;-54;z;947
x;3;y;-74;z;932
x;-3;y;-46;z;936
x;-15;y;-113;z;943
x;-3;y;-70;z;955
x;-7;y;-66;z;916
x;35;y;-66;z;959
x;11;y;-66;z;955
x;7;y;-58;z;994
x;7;y;-58;z;994
x;7;y;-89;z;936
x;3;y;-62;z;943
