x	19	y	-62	z	947	-53
x	-35	y	-66	z	967	-33
x	-156	y	-245	z	986	-14
x	-179	y	-54	z	846	-154
x	-27	y	-46	z	1244	244
x	46	y	-120	z	783	-217
x	-284	y	-202	z	904	-96
x	-62	y	23	z	893	-107
x	-66	y	-58	z	1002	2
x	-214	y	-222	z	842	-158
x	-58	y	19	z	1095	95
x	-101	y	70	z	963	-37
x	-132	y	-74	z	725	-275
x	-66	y	-187	z	885	-115
x	0	y	46	z	1002	2
x	-179	y	3	z	1045	45
x	-3	y	-81	z	967	-33
x	-62	y	-132	z	1111	111
x	-117	y	-50	z	846	-154
x	-140	y	-19	z	702	-298
x	-148	y	-23	z	819	-181
x	-105	y	120	z	819	-181
x	-300	y	-66	z	1193	193
x	-7	y	-78	z	904	-96
x	-132	y	19	z	846	-154
x	81	y	-397	z	2507	1507
x	198	y	163	z	663	-337
x	-569	y	74	z	1462	462
x	210	y	-58	z	546	-454
x	-397	y	-179	z	1021	21
x	74	y	23	z	1228	228
x	39	y	234	z	912	-88
x	-292	y	202	z	1240	240
x	81	y	-124	z	811	-189
x	-191	y	163	z	729	-271
x	58	y	50	z	1326	326
x	-276	y	81	z	772	-228
x	-19	y	-128	z	1232	232
x	-93	y	42	z	1127	127
x	-175	y	-128	z	1134	134
x	-11	y	144	z	1111	111
x	-269	y	74	z	643	-357
x	-198	y	31	z	815	-185
x	-117	y	3	z	1006	6
x	-31	y	296	z	756	-244
x	-191	y	175	z	967	-33
x	-11	y	66	z	904	-96
x	-226	y	206	z	904	-96
x	-187	y	-58	z	721	-279
x	-167	y	187	z	713	-287
